# Constructed from biom file
#OTU ID	NC01	NC03	NC09	NC10	NC17	RC05	RC07	RC10	RC12	RC16
d1a100b4f3694e74e3896811783f1995	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0
75e7ec6ea1a63101e0724a95e26bf8fc	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0
145ecb96d845f91325a8a5ead4404d6c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	488.0
5664c4a92223fed2c18c31ff930b296d	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
f00fe203dd6562ae4cf1eb235ab026a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0
93d37a6ecbc2e6dfb8e812ff869145df	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
34b25bb7ffab25fea4d164ecab53f52e	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
f01c3dc07e1eeb04497a12a5f8ff0d24	0.0	0.0	0.0	0.0	0.0	0.0	948.0	0.0	0.0	0.0
ad87304ffa7fec0049b1fb56249646fd	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
6841aed5cceb30d3ad4ced3a35890d3f	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96e7624b68957a4587481f1b4b62150f	0.0	0.0	0.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0
6c5dd5ce437e31469401001e821b8b32	0.0	0.0	1670.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0034897ae99aead88893fa0a5d4d2ffb	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
a3d12ec2522ce06b82bfb7e3ba8ee655	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
41d0f105f06875b6921873c297ef032b	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feb32dc341465e1ef81838ed252d2ca5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
0700311723cf6470002ef5e6028b5176	0.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
955a3961df4c214c88b923527d96c3fe	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26120b06e67bbe99d54f633f7c978cb6	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0
6fa58962000f9d1cd8aa7222c49f9c87	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6631e1f766609a4984fed5b1d7a99281	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
efcf806eacadcd7565d306c8783c8069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	472.0
13011222215141acc785af82beda8cb0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0
2396ed556e1af87822d17ab6e5023664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	0.0
e3a7cb8266bb718ba0df2ae23d569810	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
5afce0e01647a999f800c7cdbf5a8cac	0.0	0.0	0.0	0.0	0.0	774.0	0.0	0.0	0.0	0.0
b075ac4c3df4d058fc6140c8a6a0d2b6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	952.0	0.0	0.0
1a608a1a603940be6f977df168c282e9	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3b3c41d8bcfb8bb79125888d1bc48fc8	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4466fc519faa9c071ac542d6d6589009	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0
e5b3ca2f401b1cf675e8f5be5846776c	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
a9c3064bd99c61198a89078137319e67	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
7f1997d261f5fa463a9f945f852488de	0.0	0.0	0.0	0.0	1867.0	0.0	0.0	0.0	0.0	0.0
04118cc2c1103ccb901a2b926193ff17	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f478501630a33a1587de5db05f7e03d5	2384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f38c3e75d9b1d15e64abad0e4f6b1e4	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
ea71924da77858dbc63e2d2e2471496b	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0
fe173df8ea540008289c771b79bb7ff2	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c776dcdd39e630d128411543dcf4f3b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2261.0	0.0
813c013a6e164710539f4f5fd48a13f4	0.0	0.0	1885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59ce54fc514bd06d576ebe65056badb5	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5e1e28b966891d4253277b74ba439cf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0
aa928c8db588a99a1dc1f55b40bd92e8	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5986c5fc7dcb062e0902e94810651643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0
00a6a33b715ab54b800b19278897b549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	980.0	0.0
26af50a34cf363013d409018def48fdc	0.0	0.0	0.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0
bb828605c4a794ff2f7673eb1cb29bc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
b7f80b347927a4df849442284e57428f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0
ad0e06d7f1f1a93a21b122b450b24a3e	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f94c266eb21adf2ed2fbb8786d99a31	0.0	0.0	442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ba35acd8c541381fffca3cc3d2eabd42	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
29129c76bfa09d7f873ec49fe1ac7b60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
0ba510a6c9f9118beb06c9ad16fa236a	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a30c0ebc8933b4baa7bdfe584b75b256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
01ae2a3d55173b9ae541eee02114bab0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
671be951548e07758236c6c76df09083	0.0	0.0	0.0	0.0	673.0	0.0	0.0	0.0	0.0	0.0
dfa26bc202061174828bdfaf7855781b	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1ea492fa6509a5b9b64914b9f897406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3961.0	0.0	0.0
de85416698d02d0b3b49d81d74d9fd84	0.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0
99da75817b66370c47df8e69217a70e4	0.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d6efca0299ecbe56ef4f45a3a258784e	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f0d1e373a5676016fe70d50f086e413d	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94e8055a88138532f56c6a6d19e46db4	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1b378b5c50d855a2a08655d296585dc	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0
ec7f0a0739c3640c29f2ef597a4d2650	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c5e0be38e31f5ee165cda64c5388b323	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9b29225bc58a67b699be390eb879473	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8295b287cbbdab7887a0435959795950	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d8fc54bf65e8401daf2311ef32f238f	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
bb992ac8de0f2e7a4bf8a160ba481460	0.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0
c3cbc270a2904796cf6f5a37280a6d4d	0.0	0.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0
4a8788156968cab0b1233398ce2ef2f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0
0072f1d18b32844fc83af9b7195b8d0e	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
5c0c51575e38e6215a2d23862bcfe4dd	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94a3bb76d1cf7d05bb99b6bc7136033f	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b33d6f9bdc5c3e5ec5e9f3fa49d6244	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56767df8150a7410452909175e5be60a	0.0	0.0	0.0	522.0	0.0	0.0	0.0	0.0	0.0	0.0
